titleKey,title,year,imdbId,field,currentValue,note
show:39754,Between Two Ferns with Zach Galifianakis,2008,tt1535002,rottenTomatoes,,"RT search's 3 candidates all rejected as wrong shows (best match found: 'The Audacity', an unrelated title). MC bare-slug guess also failed. A real Netflix/Funny or Die special with real press coverage - likely just needs the correct RT slug found by hand."
show:39754,Between Two Ferns with Zach Galifianakis,2008,tt1535002,metacritic,,"See rottenTomatoes note - same investigation needed on the MC side."
show:62476,The Bureau,2015,tt4063800,rottenTomatoes,,"French show (real title 'Le Bureau des Legendes'), tt4063800. RT/MC likely list it under the French title or a different English title entirely - a translated-title mismatch, not a URL-guessing bug. Worth checking the real RT/MC page under both title forms."
show:62476,The Bureau,2015,tt4063800,metacritic,,"See rottenTomatoes note."
show:2562,How the West Was Won,1977,tt0077027,rottenTomatoes,,"1977 TV miniseries. Both RT/MC direct guesses loaded pages but found nothing extractable, and search fallback found nothing either. Plausibly a genuine coverage gap for an older TV miniseries neither site indexed - not yet confirmed via outside sources."
show:2562,How the West Was Won,1977,tt0077027,metacritic,,"See rottenTomatoes note."
show:5742,Return to Lonesome Dove,1993,tt0106112,rottenTomatoes,,"1993 TV miniseries (sequel to Lonesome Dove). Same pattern as How the West Was Won - plausibly a genuine older-TV-miniseries coverage gap, not yet confirmed via outside sources."
show:5742,Return to Lonesome Dove,1993,tt0106112,metacritic,,"See rottenTomatoes note."
show:239000,Knight Watchmen,2022,tt26694023,rottenTomatoes,,"RT search's candidates rejected (real known miss: search ranks the famous HBO 'Watchmen' first for this query). An obscure indie superhero show - the real RT/MC page (if any) needs to be found by hand."
show:239000,Knight Watchmen,2022,tt26694023,metacritic,,"See rottenTomatoes note."
movie:1093883,Top Shot,2023,tt21627964,rottenTomatoes,,"RT search found nothing usable (3 candidates tried, none matched). Not yet researched via outside sources - could be a real title-collision (a well-known 'Top Shot' competition show also exists) or a genuine low-coverage indie film."
movie:1093883,Top Shot,2023,tt21627964,metacritic,,"See rottenTomatoes note."
show:150,This Life,1996,tt0115390,rottenTomatoes,,"1996 BBC drama. Direct guesses + search fallback all failed. A real, well-regarded British show - plausibly just needs its real RT/MC slug found by hand (older BBC content sometimes isn't under a predictable slug)."
show:150,This Life,1996,tt0115390,metacritic,,"See rottenTomatoes note."
show:248937,Hostage,2025,tt31407004,rottenTomatoes,,"CONFIRMED real page exists at rottentomatoes.com/tv/hostage_2025/s01 (Netflix/Suranne Jones/Julie Delpy). Tomatometer has been reported anywhere from 79% to 88% across different dates as new reviews came in (a moving target right after premiere) - most recent WebSearch snippet found 79% based on 43 reviews, but the scraper itself found nothing extractable there this run. Worth a direct look at the live page rather than trusting a manually-entered number that may already be stale."
show:248937,Hostage,2025,tt31407004,metacritic,,"CONFIRMED real page exists at metacritic.com/tv/hostage/season-1/ (page title correctly loaded: 'Hostage season 1 Reviews - Metacritic'). WebSearch found Metascore 62/100 based on 14 critics, User Score 5.1/10 - but the scraper's own JSON-LD/NEXT_DATA extraction found nothing usable on this exact fetch. The right page IS being reached now (a real win from this session's season-1 sub-path fix); the remaining gap is in extracting/interpreting this specific page's data, not URL-guessing."
